site,contrat,teletravail,titre,description,profile,id_annonce,loc_pays,loc_pays_code,loc_region,loc_region_code,loc_departement,loc_departement_code,loc_ville,loc_ville_code,date_publication,entreprise,salaire,coordonnees,salaire_mini,salaire_maxi,periode,soft_skills
Hello Work,CDI,Télétravail partiel,Data Analyst H/F,"Ce qui nous anime au quotidien ? Faire voyager nos 56 millions de Membres en leur proposant des offres uniques d'évasion à des prix irrésistibles. Nous sommes présents sur neuf marchés et ne comptons pas nous arrêter là !

Entrepreneurs dans l'âme et véritables team-player, ambitieux, audacieux, passionnés et exigeants, nous jouons collectifs pour chaque jour contribuer à la réussite de Voyage Privé.

Entreprise à mission depuis 2021, nous croyons à la possibilité de changer de trajectoires et de provoquer les possibles : c'est ainsi que nous regroupons sur le même campus les collaborateurs et collaboratrices de Voyage Privé, des sportifs de haut niveau du Provence Rugby, des enfants & collégiens en décrochage scolaire soutenus par les éducateurs de l'Ecole des XV, des adultes en situation de handicap «  Nos pierres précieuses » en insertion professionnelle & des artistes du Dalida Institute, créant ainsi des passerelles entre des univers éloignés et apprenant quotidiennement les uns des autres.

Pourquoi nous rejoindre ?

L'univers du voyage est un terrain de jeu magique en termes de data : données clients, marketing, fournisseurs, navigation, CRM, service client... Notre activité génère un important volume de données (80 To) dont l'analyse a un impact direct sur l'expérience utilisateur, la conversion, les relations fournisseurs. En 2022 nous montons une nouvelle organisation data et ouvrons plusieurs postes clés pour écrire une nouvelle page !

En tant que Data Analyst vous serez en charge de l'identification des leviers de croissance et de rentabilité accompagnant la prise de décision pour nos différents départements : Produit, CRM, Marketing, Achats, Sales, Service Client, Transport, Finance.

Vous serez amené(e) à maîtriser tout le traitement de la donnée sera indispensable : identification du tracking adapté, collecte fiable, indicateurs pertinents, modèle de données performant, visualisations adaptées et analyses et A/B tests concluants.

Vos principales missions :
-  Monitorer la performance des ventes et des campagnes marketing, analyser les produits les plus demandés par nos visiteurs, identifier les destinations tendance...pour :
-  Alerter le business en cas de comportement inattendu
-  Identifier la source du problème
-  Recommander des solution
-  Analyser les A/B tests
-  Définir l'objectif de l'A/B test avec le business
-  Définir le périmètre de l'A/B test permettant d'obtenir des résultats rapides et fiables en limitant les risques business
-  Identifier les KPIs à suivre pour mesurer efficacement le test et les impacts potentiels
-  Réaliser les analyses basées sur des tests de significativité
-  Faire des recommandations d'actions
-  Réaliser des analyses ad-hoc et exploratoires
-  Améliorer la compréhension d'un domaine / d'une situation / de nos clients
-  Identifier des opportunités de croissances et les traduire en plan d'actions
-  Identifier des problématiques non-maîtrisées à date et faire parler les données pour y répondre

Notre environnement technique : Tableau, Dataiku DSS, BigQuery, Elasticsearch, ETL interne, Apache Spark on YARN, Google Cloud Storage, Google Cloud Dataproc, Google Cloud Pub/Sub

Développement en Python et Scala avec Docker, GitHub/GitLab","Qualifications

Nous sommes faits pour nous rencontrer et grandir ensemble si...
-   Formation supérieure Bac +5 (école d'ingénieur et/ou spécialisation en statistiques)
-   Vous avez minimum 4 ans d'expérience dans l'analyse de données dans le domaine du digital
-   Vous êtes reconnu(e) pour votre rigueur avec un excellent sens du service et un bon relationnel
-   Vous aimez travailler en équipe
-   Vous avez des notions de SQL et maîtrisez un outil de BI du marché ; une forte expérience Tableau est un plus
-   Vous avez un fort esprit analytique avec des bases solides en analyse de données et statistique et savez communiquer clairement vos résultats d'analyses avec synthèse
-   Vous avez de l'intérêt pour de nouveaux langages tels que Python / R
-   Vous aimez proposer de nouvelles idées pour faire avancer l'équipe !

Informations supplémentaires

Vous allez prendre plaisir à nous rejoindre...
-   Chez Voyage Privé, l'aventure entrepreneuriale » est une réalité : menez des projets ambitieux et épanouissants, tout en rejoignant une entreprise qui a à coeur de faire grandir ses équipes ;
-   Vivez dans le Sud de la France dans un environnement naturel, économique et culturel exceptionnel et dans un campus moderne, numérique et éco-responsable ;
-   Trouver votre équilibre en bénéficiant de 2 jours de télétravail max par semaine que vous pourrez concentrer sur une semaine entière et ce jusqu'à 4 fois dans l'année ;
-   Remettez du sens dans votre travail et découvrez un écosystème unique, créateur de ponts entre des univers souvent éloignés : l'économique, le sportif, l'académique, le social et participer à l'un des projets Vision (Ecole des XV - Provence Rugby - VP Green- Les Tremplins - Chez Pierre).
-   Annulez votre abonnement de sport ! Accédez matin, midi et soir à notre grande salle de sport du Campus et jouez au Padel quand vous le souhaitez grâce à notre terrain réservé uniquement aux salariés Voyage Privé...
-   Vivez au rythme des différents temps forts Business & fun de Voyage Privé (Company Breaks, Carnaval, Convention annuelle...), participez à des meet-up et des talks, et profitez des places offertes à chaque match à domicile du Provence Rugby ou dansez sur les sons du Dalida Institute !
-   Vous souhaitez profiter de nos offres d'évasions ? Bénéficiez jusqu'à - 20% de réduction sur nos prix irrésistibles ;",44102446,France,FR,Provence-Alpes-Côte d'Azur,93.0,Bouches-du-Rhône,13,Aix-en-Provence,13001.0,2023-12-19T13:14:22.593,Voyage Privé,,,0.0,0.0,,"['organisation', 'synthèse', 'prise de décision', 'audace']"
Hello Work,CDI,Télétravail partiel,Data Analyst H/F,"Nous protégeons le progrès pour imaginer un avenir durable et serein.
Nous rejoindre, c'est :
-  Participer à une aventure humaine enrichissante dans un Groupe en forte expansion, pour relever des challenges ambitieux
-  Bénéficier d'un cadre favorable à la construction de votre carrière et au développement de votre potentiel
-  Contribuer au développement et à la promotion des engagements RSE et des valeurs fortes du Groupe

Le département Data Intelligence a pour rôle la conception et diffusion d'outils permettant le pilotage des directions commerciales et opérationnelles de Diot-Siaci. Elle intervient aussi auprès des clients (essentiellement Grands Comptes) pour mettre en oeuvre des solutions de dataviz adaptées aux problématiques client. L'élargissement et la diversification des activités de Diot-Siaci ouvre de nombreuses perspectives de missions liées à la valorisation des données de l'entreprise, portée par le département Data Intelligence.
Les principales missions du poste sont :
-       Structuration des bases de données : en collaboration avec l'équipe data et l'informatique, mise en place et amélioration des bases de données existantes. Fiabilisation des données avec la construction d'outils de détection des outliers, par règles métier et par modélisation.
-       Recueillir, analyser et challenger les besoins métiers afin d'assurer la réalisation de reportings pertinents et nécessaires aux différents départements pour le pilotage de leur activité.
-       Data Visualisation (Power Bi notamment) : proposer des solutions de restitution adaptées selon la cible d'utilisateurs visés. Automatisation des suivis déjà en place, dans un souci de productivité.
-       Construction d'outils permettant de piloter l'activité des opérationnels. Par exemple, avec des algorithmes définissant ce qu'il faut traiter automatiquement vs par un gestionnaire et selon quelle priorité.
-       Veille technique soutenue autour de la data et des nouvelles technologies afin d'être toujours pertinent et différenciant","Formation initiale et expérience
-        Ecole d'ingénieur, Bac +5 Statistiques / Informatique décisionnelle, Data science
-        Première expérience significative dans la statistique décisionnelle, de préférence en courtage et/ou assurance (2/3 ans minimum)

Vos compétences techniques :
-        Traitement de données, automatisation, data visualisation, modélisation statistique, bonne communication
-        Environnement technique : R, Python, SQL, Power Bi (+ les différents modes de licences proposés (Embedded, Premium, etc.) et idéalement Power APPS + Automate), Pack Office, connaissance des problématiques Cloud, connaissances de DJANGO seraient un réel plus.

Vos compétences personnelles :
-        Vous avez une curiosité naturelle qui vous rend créatif et passionné par les sujets autour de la donnée et de la BI. Vous aimez partager les connaissances et bonnes pratiques acquises à chaque projet dans une démarche d'amélioration continue et de recherche d'innovation.
-        Vous aimez interagir avec tous les métiers de l'entreprise pour avancer vos projets et êtes persuadé qu'une statistique a plus de puissance et de crédibilité lorsqu'elle est construite avec les sachants métiers et les opérationnels.
-        Rigoureux et méthodique, vous êtes capable d'appréhender votre projet dans son ensemble, d'en modéliser les étapes et de le mener jusqu'à son terme avec un souci constant de fiabilité et de qualité.

Au sein de notre Groupe, vous bénéficiez de 2 à 3 jours de télétravail par semaine et d'avantages sociaux.
Venez construire votre avenir avec nous.

Nous nous engageons en faveur de la diversité, de l'inclusion et de la lutte contre toute discrimination. Tous nos postes à pourvoir sont ouverts aux personnes en situation de handicap.
Le Groupe DIOT-SIACI est signataire de la Charte de la Diversité.
Pour en savoir plus, consultez notre page LinkedIn et notre site carrière.",43952987,France,FR,Île-de-France,11.0,Paris,75,Paris,75056.0,2023-12-14T18:13:49.58,DIOT-SIACI,44 000 EUR par an,"(48.859, 2.347)",44000.0,0.0,année,"['conception', 'communication', 'fiabilité']"
Hello Work,CDI,,Data Analyst H/F,"Au sein du service Fidélisation et Relation Client, vous aurez pour mission principale de participer à l'amélioration continue de l'expérience Cdiscount sur l'ensemble du parcours d'achat (avant-vente, prise de commande, livraison, après-vente). Vous vous appuierez sur les bases de données pour construire les indicateurs pertinents qui permettront de mesurer l'efficacité des process existants et d'identifier les axes d'amélioration.Au quotidien, vous serez amené à :
* Mener des analyses exploratoires pour identifier des optimisations ou des axes de développement dans le parcours du client
* Définir et construire les indicateurs à suivre pour retranscrire et piloter l'expérience client
* Accompagner les différentes équipes du service en leur fournissant les chiffres nécessaires au pilotage de leur activité (équipes Projet, Fidélisation, CRM, Process, Budget, Opération...)
* Contribuer à la maintenance, l'amélioration et la documentation des travaux de l'équipe Data Analyse (dashboards, datasets...)
* Proposer et tester des approches innovantes pour optimiser l'expérience client tout en justifiant un retour sur investissement (A/B testing)","Révélez votre talent
Diplômé d'une grande école d'ingénieur ou équivalent avec une spécialisation en analyse de données, vous voulez vous investir dans une société en forte croissance.Vous possédez le goût de l'innovation et du challenge tout en étant rigoureux et autonome.
Doté d'excellentes capacités de synthèse, votre goût pour les chiffres vous permettra de mener des études quantitatives et d'en présenter les conclusions de manière à faciliter la prise de décision au quotidien.
Votre relationnel et votre dynamisme seront des atouts pour mobiliser les interlocuteurs adéquats autour des actions transverses qui découleront de vos analyses.
Vous disposez d'une forte sensibilité client et saurez retranscrire ses attentes dans vos analyses et plans d'action.
Enfin, vous avez de solides bases en analyse de données et souhaitez continuer de vous épanouir dans ce domaine. En particulier vous maîtrisez le langage SQL (avancé), Excel et Power Bi.",44083887,France,FR,Nouvelle-Aquitaine,75.0,Gironde,33,Bordeaux,33063.0,2023-12-19T01:57:45.413,Cdiscount,,"(44.851895, -0.587877)",0.0,0.0,,"['prise de décision', 'synthèse']"
Hello Work,CDI,Télétravail occasionnel,Data Analyst H/F,"-  Recueil et extraction des sources de données
-  Traitement, exploitation et intégration des données
-  Création de dashboards, mise en place de KPIs et reporting des performances
-  Mise en place de process/requêtes et automatisation
-  Production d'analyses métiers et de recommandations
-  Gestion des outils d'analyses
-  Veille technologique

Environnements Technique : Power BI ou Tableau ou Looker","De formation supérieure, vous avez acquis une solide expérience en gestion de data.

Vous recherchez des projets aux environnements techniques challengeants.

Vous souhaitez rejoindre une équipe dynamique pour participer à la réalisation de projets ambitieux dans un cadre où l'esprit d'équipe et la bonne humeur rythment notre quotidien?

Alors, il est temps de postuler !

Nous recherchons avant tout un collaborateur motivé et passionné.",43994248,France,FR,Auvergne-Rhône-Alpes,84.0,Rhône,69,Lyon,69123.0,2023-12-15T16:36:30.563,Ikigaï,35 000 - 50 000 EUR par an,"(45.758, 4.835)",35000.0,50000.0,année,['esprit d’équipe']
Hello Work,CDI,,Data Analyst H/F,"En tant que Data Analyst dans un contexte internationnal, vous jouerez un rôle essentiel dans l'exploitation des données pour améliorer l'expérience des visiteurs, optimiser les opérations et contribuer à la prise de décision stratégique.

Rattaché au DSI du Groupe, vous aurez pour mission principale de gérer les outils permettant d'analyser la performance du groupe en support aux différents métiers opérationnelles dont Marketing, Ventes, RH et finance...

Vos principales missions :

Côté analyse des données :
-  Vous collectez, nettoyez et prétraitez les données provenant de différentes sources, y compris les ventes, la fréquentation, la satisfaction des clients, etc ;
-  Vous réalisez des analyses statistiques avancées pour identifier des tendances, des opportunités et des défis ;
-  Vous élaborez des modèles prédictifs pour anticiper les comportements des visiteurs et optimiser les opérations.

Côté Datavisualisation :
-  Vous créez des tableaux de bord interactifs et des rapports visuels pour présenter les données de manière compréhensible et convaincante ;
-  Vous utilisez des outils de datavisualisation tels que Power BI, Domo ou D3.js pour rendre les données accessibles à tous les niveaux de l'entreprise ;
-  Vous collaborez avec les différentes équipes pour répondre à leurs besoins en matière de datavisualisation.

Côté pilotage de projet :
-  Gestion de projet : Vous planifiez, organisez les ressources et gérez les risques pour respecter les délais et le budget ;
-  Coordination : Vous assurez la liaison avec les partenaires (Editeurs, prestataires...), les métiers et les utilisateurs pour une collaboration efficace ;
-  Qualité des projets : Vous veillez à la qualité des projets, en résolvant les problèmes et en formant les utilisateurs pour atteindre les objectifs fixés.","Votre profil :

Femme ou Homme titulaire d'un diplôme en statistiques, informatique, mathématiques ou en domaine connexe.

Vous justifiez d'une expérience professionnelle d'au moins 5/6 ans en tant que Data Analyst / Data Engineer et Chef de projet.

Vos qualités :
-   Vous êtes rigoureux, dynamique et faites preuve de réactivité ;
-   Vous êtes à l'aise dans la communication et l'explication de concepts techniques ;
-   Vous êtes curieux(se) et doté(e) d'un fort esprit d'équipe ;
-   Vous maîtrisez les outils d'analyse de données tel que SQL, Excel, Logiciel R et Python ;
-   Vous maîtrisez l'anglais à l'écrit comme à l'oral (environnement international).",43987330,France,FR,Bretagne,53.0,Ille-et-Vilaine,35,,,2023-12-15T15:13:19.527,Advisia RH,,,0.0,0.0,,"['Planning', 'Collaboration']"
Hello Work,CDI,Télétravail occasionnel,Data Analyst H/F,"Nous recherchons pour le compte de notre client un Data Analyst (F/H). Le poste est à pourvoir en CDI chez un client final à Montauban.

Le poste se découpe en plusieurs activités :
-  Data Strategy et mise en place de projets Data : le Data Analyst participera à l'élaboration d'une stratégie Data cohérente et générant de la valeur pour l'entreprise. Des projets Data seront leadés par le Data Analyst.

-  Création de Reportings Power BI :
Répondre aux besoins des différents services (Sales, Supply Chain, Marketing, Engineering...) en concevant des tableaux de bord à l'aide de Power BI. Création de rapports automatisés pour suivre les indicateurs clés de performance et les tendances.
-  Manipulation et Nettoyage des Données :
Utilisation de Python & SQL ou d'autres outils (machine learning, ou AI au sens large) appropriés pour collecter, nettoyer, et préparer les données en vue de l'analyse. Identification et résolution des incohérences et des erreurs dans les données.
-  Customer Relationship Management (CRM) :
Collaboration avec les équipes CRM pour concevoir des stratégies de gestion des relations clients basées sur les insights tirés des données. Utilisation des données pour personnaliser les interactions et améliorer la rétention et la fidélisation des clients.
-  Data Warehouse :
Participation à la conception et à la mise en place d'un entrepôt de données pour stocker et organiser efficacement les données de l'entreprise. Création de schémas et de structures de données adaptées pour faciliter l'analyse et le reporting.
-  Customer Data Platform (CDP) :
Gestion de la plateforme CDP pour l'intégration, la gestion et l'analyse des données clients. Création de segments, suivi des comportements, et recommandation d'améliorations basées sur les données clients.

Compétences techniques nécessaires : PowerBI, Python, Excel.
Avoir déjà approché un ERP/CRM
Anglais courant","Vous devez avoir un diplôme universitaire en informatique, en statistiques, en sciences des données ou dans un domaine connexe.
Vous avez une expérience professionnelle pertinente (à minima 3 ans) en tant que Data Analyst, avec une expérience démontrée dans la manipulation, le nettoyage et l'analyse de données.
Un anglais courant est nécessaire afin d'évoluer dans un contexte international.
Vous avez une expérience dans la conception de solutions de gestion de données et de reporting, en utilisant des outils tels que Power BI.
Une expérience tangible sur des outils CRM, Data Warehouse ou CDP est un plus important.",42561334,France,FR,Occitanie,76.0,Tarn-et-Garonne,82,Montauban,82121.0,2023-12-15T00:18:23.003,Expectra,45 000 EUR par an,"(44.020606, 1.363813)",45000.0,0.0,année,"['Management', 'Collaboration']"
Hello Work,CDI,,Data Analyst H/F,"Talents IT cabinet de recrutement national spécialisé dans les métiers de l'IT et du Digital proche de ses clients et candidats est résolument tourné vers l'humain. Notre équipe soudée et toujours de bonne humeur est là pour vous conseiller et vous accompagner dans votre projet professionnel.

Dans le cadre du développement de notre client nous sommes à la recherche d'un(e) candidat(e) pour le poste de Data Analyst (69) Villeurbanne.

Vous êtes la personne clé pour donner sens aux informations recueillies, mettre en corrélation de nombreuses variables et les transformer en données exploitables.

Vous faites parler la donnée afin de mieux comprendre nos clients, leurs facteurs de risque, de réussite, de croissance... Et pouvoir les conseiller au mieux afin de stimuler leur croissance.
-  Identification des sources d'information les plus pertinentes,
-  Modélisation de procédés de collectes de données,
-  Traitement des données afin qu'elles soient totalement lisibles,
-  Actualisation des données,
-  Réalisation de tableaux de bord et des bilans,
-  Rédaction des comptes rendus d'analyse,
-  Sensibilisation des équipes sur l'analyse de la data et des possibilités de reporting,
-  Contribution à la mise en place de bonnes pratiques.

Diplômé d'un master en statistique, mathématiques appliquées, big data... Vous possédez une expérience professionnelle d'au minimum 3 ans en tant que Data Analyst.

Vous serez formé à l'apprentissage de nos métiers.

Vous maîtrisez certains outils d'analyse statistique, langages informatiques et bases de données, notamment PowerBI, VBA et Python.

Au-delà de vos compétences métier, votre pro activité, votre curiosité et votre adaptabilité vous permettront d'appréhender rapidement la diversité des enjeux de nos clients et de proposer des outils d'aide à la décision adaptés.

En déposant votre CV, vous acceptez que les informations recueillies à partir de votre CV fassent l'objet d'un traitement informatique destiné au Groupe LINKING TALENTS. Nous collectons vos données afin d'étudier votre candidature, vous intégrer à notre vivier de candidats et/ou vous adresser du contenu en lien avec votre recherche d'emploi. 
Vous disposez d'un droit d'accès, de rectification, d'effacement, de limitation, d'opposition et de portabilité des données personnelles vous concernant, et de définition des directives relatives au sort de vos données après votre décès. Vous pouvez exercer ces droits en cliquant ici. En cas de contestation, une réclamation peut être introduite auprès de la CNIL. Pour en savoir plus sur notre politique de protection de vos données personnelles, cliquez ici.",,41463647,France,FR,Auvergne-Rhône-Alpes,84.0,Rhône,69,Villeurbanne,69266.0,2023-12-18T00:21:54.707,Talents IT,45 000 - 60 000 EUR par an,"(45.768975, 4.890035)",45000.0,60000.0,année,['conseil']
Hello Work,CDI,Télétravail partiel,Data Analyst H/F,"L'une de nos entreprises partenaires cherche à recruteur un DATA ANALYST (H/F) dont les missions sont les suivantes : 

·      Définir la stratégie Data-Driven de l'entreprise

·      Créer et maintenir les bases de données de l'entreprise

·      Appliquer des méthodes statistiques et des techniques d'analyse pour identifier les tendances, les modèles et les relations significatives dans les données.

·      Utiliser des outils et des langages de programmation tels que Python, R ou SQL pour manipuler et interroger les données.

·      Créer des tableaux de bord et des visualisations interactives pour représenter les résultats de l'analyse de manière claire et convaincante.

Cette formation est prévue pour un démarrage au 14 février au 16 mai 2024","Le CDI proposé est conditionné par le fait de suivre une formation de 3 mois au sein de Fitec. Vous obtiendrez une promesse d'embauche avant même de commencer votre formation ! Pour candidater :

·      Vous avez validé un diplôme Bac +5 de l'enseignement supérieur en informatique, filières scientifiques ou école d'ingénieurs

·      Vous avez une petite expérience dans le domaine de l'analyse de données, la modélisation, et/ou le développement (HTML, JavaScript, Python, C++, Matlab.).

·      Vous avez occupé des postes dans le domaine du décisionnel : datamining, statistiques ou de DBA.

Une aisance en anglais est un plus pour vous ouvrir à un maximum d'opportunités professionnelles",43816113,France,FR,Île-de-France,11.0,Paris,75,Paris,75056.0,2023-12-12T02:19:03.453,,35 000 - 45 000 EUR par an,"(48.859, 2.347)",35000.0,45000.0,année,[]
Hello Work,CDI,Télétravail partiel,Ingénieur Data Analyst H/F,"innovations du numérique et de la « deep tech » - big data, intelligence

artificielle, connectivité, cybersécurité et quantique - pour construire un

avenir de confiance, essentiel au développement de nos sociétés, en plaçant

l'humain au coeur des décisions.

Thales

propose des solutions, services et produits qui aident ses clients -

entreprises, organisations, Etats - dans cinq grands marchés vitaux pour le

fonctionnement de nos sociétés : identité et sécurité numériques, défense,

aéronautique, espace, et transport.

QUI ETES-VOUS ?

De formation Ingénieur ou Bac +5, Ecole d'ingénieur ou Université vous justifiez d'une expérience professionnelle en mise en place de solutions DataViz / BI d'au moins 4 ans.

CE QUE NOUS POUVONS ACCOMPLIR

ENSEMBLE :

Nous recherchons un Développeur Power BI et Azure passionné et compétent pour

rejoindre notre équipe technique. En tant que Développeur Power BI et Azure,

vous jouerez un rôle essentiel dans la conception, le développement et la

maintenance de nos solutions d'intelligence d'affaires basées sur Power BI et

Azure. Vous travaillerez en étroite collaboration avec les équipes métier pour

créer des visualisations de données percutantes et des tableaux de bord

interactifs, tout en exploitant les services cloud Azure pour assurer la

scalabilité et la sécurité des données.

Vous avez pu acquérir plusieurs

des compétences suivantes :

-  Solide expérience dans le développement de solutions Power BI, y compris la

conception de tableaux de bord interactifs, la création de mesures et de KPI,

et la transformation des données.

-  Connaissance approfondie des services cloud Azure, tels que Azure Data Factory,

Azure SQL Database, Azure Data Lake, etc.

-  Maîtrise des langages de requête de données tels que SQL, DAX et M.

-  Compréhension des principes de modélisation de données et d'architecture BI.

-  Expérience dans l'intégration de différentes sources de données dans Power BI,

y compris des bases de données relationnelles, des services web et des fichiers

plats.

-  Capacité à comprendre les besoins métier et à traduire les exigences en

solutions Power BI efficaces.

-  Bonnes compétences en résolution de problèmes et en communication pour

collaborer avec les membres de l'équipe et les parties prenantes.

En nous rejoignant, vous vous

verrez confier les missions suivantes

-  Concevoir et développer des tableaux de bord interactifs et des rapports

personnalisés en utilisant Power BI.

-  Collecter et analyser les besoins des utilisateurs métier pour définir les

indicateurs clés de performance (KPI) et les exigences de visualisation des

données.

-  Extraire, transformer et charger (ETL) les données à partir de différentes

sources dans les solutions Power BI et Azure.

-  Optimiser les performances et la scalabilité des solutions Power BI en

utilisant les fonctionnalités avancées d'Azure, telles que les entrepôts de

données Azure, Azure Data Factory, Azure SQL Database, etc.

-  Assurer la sécurité des données en mettant en place des mécanismes d'accès et

de confidentialité appropriés dans Power BI et Azure.

-  Collaborer avec les équipes métier pour fournir des conseils et des

recommandations sur l'utilisation efficace de Power BI et Azure pour l'analyse

des données.

-  Maintenir et améliorer les solutions Power BI existantes en fonction des

évolutions des besoins des utilisateurs.

-  Effectuer des tests et des contrôles de qualité pour assurer l'exactitude et la

cohérence des données.

Nous vous offrons :

· Une diversité de projets vous permettant de découvrir l'ensemble de nos

métiers,

· Des conditions de travail motivantes et un plan de carrière personnalisé

offrant de réelles perspectives d'évolution,

· La possibilité de vous investir dans une entreprise dont la réputation est

mondiale avec des ambitions constantes d'innovations techniques.

Innovation, passion, ambition :

rejoignez Thales et créez le monde de demain, dès aujourd'hui.

Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd'hui.",,41203211,France,FR,Île-de-France,11.0,Yvelines,78,Vélizy-Villacoublay,78640.0,2023-12-12T00:25:41.767,Thales,,"(48.785929, 2.190344)",0.0,0.0,,"['confiance en soi', 'organisation', 'communication', 'conception', 'résolution des problèmes', 'confiance', 'conseil']"
Hello Work,CDI,,Data Analyst H/F,"Talents IT cabinet de recrutement national spécialisé dans les métiers de l'IT et du Digital proche de ses clients et candidats est résolument tourné vers l'humain.

Nos consultants vous conseillent et vous accompagnent dans votre évolution de carrière.

Nous recrutons actuellement pour notre client un(e) Business Analyst H/F à Angers dans le cadre d'un CDI.

Notre client évolue dans le domaine des escalators et ascenseurs.

Au sein de la Direction des Systèmes d'Information, le Business Analyst est responsable de la qualité du service rendu par les applications du système d'information.

Il/elle travaille en étroite collaboration avec les Business Analysts en charge des périmètres connexes.
-  Pour son périmètre de responsabilité, point de contact unique du Métier pour les demandes d'évolution du SI, représentant du Métier auprès de la DSI.
-  Représentant de la DSI auprès du Métier, porteur de la qualité du service fourni au Métier par la DSI
-  Contribue aux projets
-  Anime la relation avec le ou les métiers et fonctions correspondant à son périmètre ; Coordonne les services rendus par des tierces parties (autres membres de la DSI, équipes IT Groupe, partenaires)
-  Assure le support de niveau 2 (maîtrise de l'usage) pour les incidents applicatifs sur son périmètre
-  Coordonne la gestion des demandes pour son périmètre, organise leur priorisation et la prise d'engagement de la DSI, supervise leur planification puis leur exécution par les contributeurs (équipes IT Groupe et Partenaires, équipes projet) conformément à l'engagement pris. Communique vers le Métier sur l'avancement des travaux.
-  Convertit les demandes Métier en documentation exploitable par les équipes de réalisation : réalisation de l'analyse fonctionnelle des demandes d'évolution, évaluation les impacts, rédaction des spécifications (sur la base du cahier des charges établi par le Métier), organisation de leur validation par les parties prenantes
-  Coordonne avec le Métier l'aval de la réalisation des demandes, et y contribue : planification et réalisation des recettes par le Métier, accompagnement du changement et formation des utilisateurs
-  Anticipe les changements métiers et leurs impacts sur le Système d'Informations
-  Force de proposition pour contribuer à l'optimisation des processus métiers, des données, des applications et des systèmes associés
-  Peut être amené à encadrer des prestataires
-  Anticipe les difficultés à venir et remonte les alertes à sa hiérarchie

Compétences techniques
-  Connaissance des processus de support informatique aux fonctions utilisatrices (incidents, demandes de service, évolutions)
-  Connaissance de la gestion de projet informatique
-  Capacité rédactionnelle. En particulier, expérience de la rédaction de spécifications de développement
-  Savoir animer une réunion et en faire le compte rendu
-  Anglais courant

Savoir-être
-  Tenir ses engagements
-  Sens du service client
-  Savoir travailler en équipe : avoir l'esprit d'équipe et savoir travailler en groupe
-  Prendre en charge les sujets
-  Curiosité et proactivité, pour proposer des solutions
-  Savoir manager transversalement (hors relations hiérarchiques)
-  Savoir gérer les priorités
-  Agir avec transparence
-  Savoir communiquer par écrit et par oral, rendre compte de son activité et des difficultés rencontrées et à venir
-  Structuré, rigoureux et autonome
-  Niveau Bac +4 ou expérience équivalente

Rémunération et avantages :

Rémunération fixe cible 50 à 60 K€

Variable sur objectifs : 3000 €

Information complémentaire :
-  Des déplacements sont possibles

En déposant votre CV, vous acceptez que les informations recueillies à partir de votre CV fassent l'objet d'un traitement informatique destiné au Groupe LINKING TALENTS. Nous collectons vos données afin d'étudier votre candidature, vous intégrer à notre vivier de candidats et/ou vous adresser du contenu en lien avec votre recherche d'emploi. 
Vous disposez d'un droit d'accès, de rectification, d'effacement, de limitation, d'opposition et de portabilité des données personnelles vous concernant, et de définition des directives relatives au sort de vos données après votre décès. Vous pouvez exercer ces droits en cliquant ici. En cas de contestation, une réclamation peut être introduite auprès de la CNIL. Pour en savoir plus sur notre politique de protection de vos données personnelles, cliquez ici.",,40993708,France,FR,Pays de la Loire,52.0,Maine-et-Loire,49,Angers,49007.0,2023-12-06T00:08:48.42,Talents IT,50 000 - 60 000 EUR par an,"(47.466735, -0.56191)",50000.0,60000.0,année,"['organisation', 'responsabilités', 'gestion de projet', 'conseil', 'planification', 'esprit d’équipe']"
