,hard_skills,id_annonce
0,Excel,44102446
0,Tableau,44102446
0,Apache,44102446
0,SQL,44102446
0,Spark,44102446
0,Dataiku,44102446
0,ETL,44102446
0,Docker,44102446
1,DataViz,43952987
1,Power Bi,43952987
1,SQL,43952987
2,Excel,44083887
2,Power Bi,44083887
2,SQL,44083887
3,Looker,43994248
3,Tableau,43994248
3,Power Bi,43994248
4,Excel,43987330
4,Tableau,43987330
4,SQL,43987330
4,Access,43987330
4,Power Bi,43987330
5,Excel,42561334
5,Tableau,42561334
5,SQL,42561334
5,machine learning,42561334
5,Power Bi,42561334
5,Mac,42561334
6,VBA,41463647
6,Tableau,41463647
7,ML,43816113
7,Javascript,43816113
7,Tableau,43816113
7,SQL,43816113
8,Tableau,41203211
8,SQL,41203211
8,Azure,41203211
8,DataViz,41203211
8,Power Bi,41203211
8,ETL,41203211
8,DAX,41203211
10,Tableau,44070062
10,SQL,44070062
11,Tableau,42650474
11,data mining,42650474
11,SQL,42650474
11,DataViz,42650474
11,Qlik,42650474
12,ML,43993946
12,Excel,43993946
12,Tableau,43993946
12,SQL,43993946
13,Excel,41259423
13,Tableau,41259423
13,SQL,41259423
13,QlikSens,41259423
13,machine learning,41259423
13,Power Bi,41259423
13,Mac,41259423
13,Qlik,41259423
14,SQL,41489700
14,SQL Server,41489700
14,Power Bi,41489700
14,ETL,41489700
14,Docker,41489700
15,VBA,42702780
15,Excel,42702780
16,Power Bi,42078493
16,SQL,42078493
17,Access,43976381
17,Azure,43976381
17,SQL,43976381
18,Excel,42552459
18,Tableau,42552459
18,Power Bi,42552459
19,AlteryX,42665481
19,Tableau,42665481
19,SQL,42665481
20,Excel,42718151
20,Tableau,42718151
21,ETL,43437803
21,DataViz,43437803
21,Power Bi,43437803
21,SQL,43437803
22,Excel,44006101
22,Access,44006101
22,VBA,44006101
22,machine learning,44006101
22,Mac,44006101
23,Looker,42567835
25,Qlik,43878116
26,Excel,43860060
26,SQL,43860060
27,Looker,43378048
27,SQL,43378048
28,Excel,43321377
28,Tableau,43321377
28,SQL,43321377
29,Access,43339856
29,Datalake,43339856
29,Excel,43339856
29,DataViz,43339856
30,Excel,41960247
30,SQL,41960247
31,Tableau,43664242
31,SQL,43664242
31,machine learning,43664242
31,DataViz,43664242
31,Mac,43664242
31,Looker,43664242
32,AlteryX,43635580
33,Tableau,43703467
34,Excel,44112095
35,Excel,39831657
36,SAP,43526595
36,Excel,43526595
37,ETL,43478799
37,Power Bi,43478799
37,SQL,43478799
38,Excel,43552929
38,Tableau,43552929
39,Access,42583075
39,Snowflake,42583075
39,Excel,42583075
40,SQL,43377996
41,ML,44054153
41,VBA,44054153
41,Excel,44054153
42,ML,40543092
42,Tableau,40543092
42,SQL,40543092
42,Azure,40543092
42,Power Bi,40543092
43,Mac,44065027
44,Databricks,43664265
44,DataViz,43664265
44,SQL,43664265
45,ETL,43601379
45,Excel,43601379
45,Tableau,43601379
45,SQL,43601379
46,VBA,43114680
46,Excel,43114680
46,Qlik,43114680
47,Excel,44029412
47,data mining,44029412
47,SQL,44029412
47,Access,44029412
47,Snowflake,44029412
48,Spark,42114545
48,Excel,42114545
48,Tableau,42114545
48,SQL,42114545
49,Excel,42533034
49,Tableau,42533034
49,SQL,42533034
49,SQL Server,42533034
49,Access,42533034
49,QlikSens,42533034
49,Power Bi,42533034
49,ETL,42533034
49,Oracle,42533034
49,SAP,42533034
49,Qlik,42533034
49,MicroStrategy,42533034
50,Power Bi,37846241
50,SQL,37846241
51,Azure,43233632
51,Qlik,43233632
51,Tableau,43233632
51,ETL,43233632
52,Tableau,42365110
53,Excel,42370467
53,Tableau,42370467
53,Power Bi,42370467
54,Excel,43230649
54,Tableau,43230649
54,ETL,43230649
55,Excel,43931424
55,Power Bi,43931424
56,SQL,41880562
57,DataViz,40748517
57,VBA,40748517
57,Excel,40748517
57,Qlik,40748517
58,SAP,42939390
58,SQL,42939390
59,Excel,39548522
59,Tableau,39548522
59,SQL,39548522
60,Excel,43846993
60,Tableau,43846993
60,SQL,43846993
61,Excel,43846985
61,Tableau,43846985
61,SQL,43846985
62,DataViz,42948757
62,Tableau,42948757
62,SQL,42948757
63,AlteryX,43361370
63,SQL,43361370
64,VBA,44036601
64,Excel,44036601
65,ML,41787887
65,Tableau,41787887
65,SQL,41787887
65,NoSQL,41787887
65,Azure,41787887
65,Access,41787887
65,machine learning,41787887
65,Power Bi,41787887
65,Mac,41787887
66,Excel,44102081
66,Power Bi,44102081
66,SQL,44102081
67,VBA,38896164
67,Excel,38896164
67,Power Bi,38896164
68,SAP,43150059
68,Excel,43150059
68,Power Bi,43150059
69,AlteryX,43412051
69,Tableau,43412051
