,soft_skills,id_annonce
0,organisation,44102446
0,synthèse,44102446
0,audace,44102446
0,prise de décision,44102446
1,conception,43952987
1,communication,43952987
1,fiabilité,43952987
2,synthèse,44083887
2,prise de décision,44083887
3,esprit d’équipe,43994248
4,coordination,43987330
4,prise de décision,43987330
4,gestion de projet,43987330
4,esprit d’équipe,43987330
4,communication,43987330
5,conception,42561334
6,conseil,41463647
8,conseil,41203211
8,confiance en soi,41203211
8,confiance,41203211
8,organisation,41203211
8,conception,41203211
8,résolution des problèmes,41203211
8,communication,41203211
9,conseil,40993708
9,gestion de projet,40993708
9,responsabilités,40993708
9,organisation,40993708
9,esprit d’équipe,40993708
9,planification,40993708
11,coopération,42650474
11,ouverture d’esprit,42650474
11,autonomie,42650474
12,attention,43993946
12,initiative,43993946
13,organisation,41259423
13,communication,41259423
14,conception,41489700
14,esprit d’équipe,41489700
14,conseil,41489700
14,autonomie,41489700
15,adaptation,42702780
15,autonomie,42702780
18,souci du détail,42552459
18,synthèse,42552459
18,conseil,42552459
19,conseil,42665481
19,communication,42665481
20,organisation,42718151
20,initiative,42718151
21,organisation,43437803
21,résolution des problèmes,43437803
22,organisation,44006101
22,responsabilités,44006101
24,prise de décision,42519525
24,autonomie,42519525
24,communication,42519525
25,conseil,43878116
26,organisation,43860060
26,responsabilités,43860060
26,autonomie,43860060
26,créativité,43860060
27,conception,43378048
27,conseil,43378048
28,confiance en soi,43321377
28,confiance,43321377
28,responsabilités,43321377
28,organisation,43321377
28,esprit d’équipe,43321377
29,synthèse,43339856
30,organisation,41960247
30,communication,41960247
30,leadership,41960247
32,synthèse,43635580
32,adaptation,43635580
32,initiative,43635580
32,responsabilités,43635580
32,conception,43635580
32,prise d’initiative,43635580
32,communication,43635580
33,esprit d’équipe,43703467
33,initiative,43703467
33,communication,43703467
33,compétences analytiques,43703467
34,organisation,44112095
34,communication,44112095
34,leadership,44112095
35,organisation,39831657
35,communication,39831657
36,gestion de projet,43526595
38,conseil,43552929
39,conseil,42583075
39,flexibilité,42583075
39,confiance en soi,42583075
39,confiance,42583075
39,discipline,42583075
39,responsabilités,42583075
39,conception,42583075
40,conseil,43377996
41,synthèse,44054153
41,conseil,44054153
41,fiabilité,44054153
41,organisation,44054153
41,conception,44054153
41,autonomie,44054153
42,conception,40543092
42,souci du détail,40543092
43,conseil,44065027
43,présentation,44065027
43,initiative,44065027
43,supervision,44065027
43,organisation,44065027
